Column Name,Column Label
TOTAL10,"Race: Aggregate, Sex: Aggregate, Job: Aggregate"
WHT10,"Race: White, Sex: Aggregate, Job: Aggregate"
BLKT10,"Race: Black or African American, Sex: Aggregate, Job: Aggregate"
HISPT10,"Race: Hispanic, Sex: Aggregate, Job: Aggregate"
ASIANT10,"Race: Asian, Sex: Aggregate, Job: Aggregate"
AIANT10,"Race: American Indian or Alaska Native, Sex: Aggregate, Job: Aggregate"
NHOPIT10,"Race: Native Hawaiian/Pacific Islander, Sex: Aggregate, Job: Aggregate"
TOMRT10,"Race: Two or more Races, Sex: Aggregate, Job: Aggregate"
MT10,"Race: Aggregate, Sex: Male, Job: Aggregate"
FT10,"Race: Aggregate, Sex: Female, Job: Aggregate"
TOTAL1,"Race: Aggregate, Sex: Aggregate, Job: Senior Off and Managers"
TOTAL2,"Race: Aggregate, Sex: Aggregate, Job: Professionals"
TOTAL3,"Race: Aggregate, Sex: Aggregate, Job: Technicians"
TOTAL4,"Race: Aggregate, Sex: Aggregate, Job: Sales Workers"
TOTAL5,"Race: Aggregate, Sex: Aggregate, Job: Clericals"
TOTAL6,"Race: Aggregate, Sex: Aggregate, Job: Craft"
TOTAL7,"Race: Aggregate, Sex: Aggregate, Job: Operatives"
TOTAL8,"Race: Aggregate, Sex: Aggregate, Job: Labors"
TOTAL9,"Race: Aggregate, Sex: Aggregate, Job: Service"
TOTAL1_2,"Race: Aggregate, Sex: Aggregate, Job: Mid Off and Managers"
WHM10,"Race: White, Sex: Male, Job: Aggregate"
BLKM10,"Race: Black or African American, Sex: Male, Job: Aggregate"
HISPM10,"Race: Hispanic, Sex: Male, Job: Aggregate"
ASIANM10,"Race: Asian, Sex: Male, Job: Aggregate"
AIANM10,"Race: American Indian or Alaska Native, Sex: Male, Job: Aggregate"
NHOPIM10,"Race: Native Hawaiian/Pacific Islander, Sex: Male, Job: Aggregate"
TOMRM10,"Race: Two or more Races, Sex: Male, Job: Aggregate"
WHF10,"Race: White, Sex: Female, Job: Aggregate"
BLKF10,"Race: Black or African American, Sex: Female, Job: Aggregate"
HISPF10,"Race: Hispanic, Sex: Female, Job: Aggregate"
ASIANF10,"Race: Asian, Sex: Female, Job: Aggregate"
AIANF10,"Race: American Indian or Alaska Native, Sex: Female, Job: Aggregate"
NHOPIF10,"Race: Native Hawaiian/Pacific Islander, Sex: Female, Job: Aggregate"
TOMRF10,"Race: Two or more Races, Sex: Female, Job: Aggregate"
WHT1,"Race: White, Sex: Aggregate, Job: Senior Off and Managers"
WHT2,"Race: White, Sex: Aggregate, Job: Professionals"
WHT3,"Race: White, Sex: Aggregate, Job: Technicians"
WHT4,"Race: White, Sex: Aggregate, Job: Sales Workers"
WHT5,"Race: White, Sex: Aggregate, Job: Clericals"
WHT6,"Race: White, Sex: Aggregate, Job: Craft"
WHT7,"Race: White, Sex: Aggregate, Job: Operatives"
WHT8,"Race: White, Sex: Aggregate, Job: Labors"
WHT9,"Race: White, Sex: Aggregate, Job: Service"
WHT1_2,"Race: White, Sex: Aggregate, Job: Mid Off and Managers"
BLKT1,"Race: Black or African American, Sex: Aggregate, Job: Senior Off and Managers"
